Название точки привлечения туристов,Кол-во запросов в месяц,Долгота,Доступность автомобиля,Доступность автобуса,Доступность внедорожника,Доступность водныого транспорта,Доступность самолета,Широта,Театр,Этнический центр,Музей,Детский туризм,Городские достопримечательности,Достопримечательность,Культурный центр,Судостроение,Нац. парк,Санаторий,Обзорная площадка,Горнолыжный курорт,Коэффициент удаленности от гостинниц
Архангельский театр драмы имени М.В. Ломоносова,9000.0,40.51528,False,False,False,False,False,64.536504,True,False,False,False,False,False,False,False,False,False,False,False,206.97999999999996
"""Беломорские узоры"" (Народные художественные промыслы)",466.0,40.520756,True,True,False,False,False,64.559452,False,True,False,False,False,False,False,False,False,False,False,False,198.80999999999995
Архангельский молодежный театр,446.0,40.519231,True,True,False,False,False,64.549876,True,False,False,False,False,False,False,False,False,False,False,False,209.32000000000002
Архангельский музей изобразительных искусств,248.0,40.518417,True,True,False,False,False,64.539888,False,False,True,False,False,False,False,False,False,False,False,False,211.79999999999998
Архангельский театр кукол,1400.0,40.529639,True,True,False,False,False,64.53185,True,False,False,False,False,False,False,False,False,False,False,False,208.76999999999995
Волшебный дом Снеговика,16.0,40.506577,True,True,False,False,False,64.575223,False,False,False,True,False,False,False,False,False,False,False,False,160.63
Архангельские гостиные дворы,70.0,40.509542,True,True,False,False,False,64.538975,False,False,True,False,False,False,False,False,False,False,False,False,204.75000000000003
Дендрологический сад имени И.М. Стратоновича,77.0,40.54962,True,True,False,False,False,64.52861,False,False,False,False,True,False,False,False,False,False,False,False,200.96000000000004
"Комплекс исторических зданий ""Подворье Соловецкого монастыря""",628.0,40.520116,True,True,False,False,False,64.534126,False,False,False,False,True,False,False,False,False,False,False,False,207.55999999999997
Михайло-Архангельский кафедральный собор,904.0,40.535919,True,True,False,False,False,64.52952,False,False,False,False,True,False,False,False,False,False,False,False,205.42000000000004
Музей авиации Севера,32.0,40.712703,True,True,False,False,False,64.59567,False,False,True,False,False,False,False,False,False,False,False,False,32.31999999999999
Музей Архангельского пряника-козули,23.0,40.527851,True,True,False,False,False,64.534952,False,False,True,False,False,False,False,False,False,False,False,False,212.51
Музей Водорослевого комбината,43.0,40.686737,True,True,False,False,False,64.500085,False,False,True,False,False,False,False,False,False,False,False,False,41.970000000000006
Музей художественного освоения Арктики им. А. А. Борисова,105.0,40.52501,True,True,False,False,False,64.534602,False,False,True,False,False,False,False,False,False,False,False,False,210.95999999999998
Музей художника и сказочника С.Г. Писахова,43.0,40.525093,True,True,False,False,False,64.534909,False,False,True,False,False,False,False,False,False,False,False,False,211.41000000000003
Новодвинская крепость (XVIII в.),2210.0,40.415838,True,True,False,False,False,64.700737,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Поморская филармония,874.0,40.519167,True,True,False,False,False,64.536031,False,False,False,False,False,False,True,False,False,False,False,False,209.29000000000002
Поморская шхуна,32.0,40.550544,True,True,False,False,False,64.529912,False,False,False,False,False,False,False,True,False,False,False,False,203.14000000000001
Северный морской музей,851.0,40.516926,True,True,False,False,False,64.53407,False,False,True,False,False,False,False,False,False,False,False,False,205.26999999999998
Северный русский народный хор,478.0,40.551904,True,True,False,False,False,64.550188,False,False,False,False,False,False,True,False,False,False,False,False,214.26000000000005
Соборная (Красная) пристань,2402.0,40.51428,True,True,False,False,False,64.534974,False,False,False,False,False,True,False,False,False,False,False,False,204.49
Усадебный дом Е. К. Плотниковой,77.0,40.521813,True,True,False,False,False,64.53359,False,False,True,False,False,False,False,False,False,False,False,False,207.87999999999994
"Центр традиционной и народной культуры ""Берендей""",85.0,42.113482,True,True,False,False,False,61.078508,False,True,False,False,False,False,False,False,False,False,False,False,59.980000000000004
Вельский краеведческий музей им. В.Ф. Кулакова,159.0,42.113134,True,True,False,False,False,61.076279,False,False,True,False,False,False,False,False,False,False,False,False,61.17
"Научно-образовательный и культурный центр ""Дом Карпеченко""",52.0,42.113971,True,True,False,False,False,61.074886,False,False,False,False,False,True,False,False,False,False,False,False,61.61
Хорошевский коневодческий комплекс,149.0,42.073439,True,True,False,False,False,61.079328,False,False,False,False,False,True,False,False,False,False,False,False,52.589999999999996
"Экспозиционно-выставочный комплекс ""Музей домовых росписей Поважья""",18.0,42.112238,True,True,False,False,False,61.07677,False,True,False,False,False,False,False,False,False,False,False,False,60.980000000000004
Вилегодский районный краеведческий музей,23.0,47.982437,True,True,False,False,False,61.112289,False,False,False,False,False,True,False,False,False,False,False,False,8.620000000000001
"Музей кухни и гОвори ""Деревенька на Виледи""",67.0,47.739497,True,True,False,False,False,61.24905,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Свято-Ильинская церковь,74.0,49.590256,True,True,False,False,False,62.096883,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Храм святителя Николая Чудотворца в селе Никольск,129.0,47.723629,True,True,False,False,False,61.256228,False,False,False,False,False,True,False,False,False,False,False,False,0.0
"""Марусин дом"", креативное пространство",46.0,38.940086,True,True,False,False,False,61.500379,False,True,False,False,False,False,False,False,False,False,False,False,27.11
"Бабкина поляна - ""памятное место"" мастера Каргопольской глиняной игрушки Ульяны Ивановны Бабкиной",36.0,38.750425,True,True,False,False,False,61.53524,False,False,False,False,False,True,False,False,False,False,False,False,0.3200000000000003
Введенская церковь (XIX в.),20.0,38.948333,True,True,False,False,False,61.50354,False,False,False,False,False,True,False,False,False,False,False,False,27.85
Каргопольский историко-архитектурный и художественный музей,32.0,38.931879,True,True,False,False,False,61.49344,False,False,True,False,False,False,False,False,False,False,False,False,24.979999999999997
Музей «Ошевенская Волость»,20.0,38.780617,True,True,False,False,False,61.858458,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Музей семьи Шевелевых и каргопольской глиняной игрушки,18.0,38.937558,True,True,False,False,False,61.506561,False,True,False,False,False,False,False,False,False,False,False,False,27.93
Ошевенский Погост,229.0,38.780199,True,True,False,False,False,61.863173,False,False,False,False,False,True,False,False,False,False,False,False,0.0
Собор Рождества Христова (Христорождественский собор),29.0,38.948234,True,True,False,False,False,61.503037,False,False,False,False,False,True,False,False,False,False,False,False,27.73
"Центр народных ремесел ""Берегиня""",30.0,38.95328,True,True,False,False,False,61.506805,False,True,False,False,False,False,False,False,False,False,False,False,27.91
"Национальный парк ""Кенозерский""",3932.0,38.253339,True,True,False,False,False,61.779822,False,False,False,False,False,False,False,False,True,False,False,False,0.0
Дом-музей Н.Г. Кузнецова,144.0,46.615435,True,True,False,False,False,61.055146,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Коряжемский Николаевский монастырь,16.0,47.188923,True,True,False,False,False,61.315631,False,False,False,False,False,True,False,False,False,False,False,False,41.38
Котласский краеведческий музей,103.0,46.628384,True,True,False,False,False,61.260602,False,False,True,False,False,False,False,False,False,False,False,False,79.72999999999999
Дом-усадьба художника А. Борисова,29.0,46.024354,True,True,False,False,False,61.537149,False,False,True,False,False,False,False,False,False,False,False,False,15.129999999999999
Красноборский историко-мемориальный и художественный музей имени С.И. Тупицына,17.0,45.940148,True,True,False,False,False,61.559635,False,False,True,False,False,False,False,False,False,False,False,False,21.86
"Санаторий ""Солониха""",2462.0,45.998683,True,True,False,False,False,61.509683,False,False,False,False,False,False,False,False,False,True,False,False,16.380000000000003
Резиденция Матушки Зимы,36.0,49.078397,True,True,False,False,False,62.172214,False,False,False,True,False,False,False,False,False,False,False,False,8.95
Церковь во имя Всех Святых (Яренск),15.0,49.101592,True,True,False,False,False,62.172591,False,False,False,False,False,True,False,False,False,False,False,False,9.03
Лешуконский дом ремёсел,7.0,45.763164,True,True,False,False,False,64.90067,False,True,False,False,False,False,False,False,False,False,False,False,0.0
Мезенский историко-краеведческий музей,26.0,44.246118,True,True,False,False,False,65.8408,False,False,True,False,False,False,False,False,False,False,False,False,0.0
"Музей ""Короля лыж"" В.С. Кузина",1.0,44.606834,True,True,False,False,False,65.572896,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Музей мельниц,1.0,44.607297,True,True,False,False,False,65.573143,False,False,True,False,False,False,False,False,False,False,False,False,0.0
Одигитриевская церковь в Кимже,8.0,44.606233,True,True,False,False,False,65.571011,False,False,True,False,False,False,False,False,False,False,False,False,0.0
"Национальный парк ""Онежское Поморье""",755.0,37.204318,True,True,False,False,False,64.970226,False,False,False,False,False,False,False,False,True,False,False,False,0.0
