0,1,2,Широта,Долгота
Гостиница «Виконда» ООО «Виконда Девелопмент»,Общество с ограниченной ответственностью «Виконда Девелопмент»,"165720, РФ, Архангельская область, Ленский район, рп Урдома, улица Архангельская, дом 16",61.742966,48.548257
"Санаторий-профилакторий ""Севмаш"" АО ПО ""Севмаш""","АО ПО ""Севмаш""","Архангельская обл., г. Северодвинск, ул. Первомайская, д.12",64.571271,39.835616
"Гостиница АО ""ПО ""Севмаш""","АО ""ПО ""Севмаш""","Архангельская обл., г. Северодвинск, пр. Морской, д. 59",64.539488,39.781130
Гостиница «Семейная» «Голубино»  ООО «Голубино»,ООО «Голубино»,"164610, Архангельская обл., Пинежский р-н., пос. Голубино, д. 8а",64.558731,43.268658
ГОСТИНИЦА «АРТЕЛЕКОМ» ИП Дракунов О.Л.,Индивидуальный предприниматель Дракунов О.Л.,"163001, г. Архангельск, ул. Шубина, д. 32",64.555701,40.531440
Хостел «Полянка» ИП Колесова О.В.,Индивидуальный предприниматель Колесова Ольга Владимировна,"164500, Архангельская обл., г. Северодвинск, пр-т Беломорский, д. 3, корп. 6",64.573730,39.844442
"База отдыха ""Хутор ""Варяжский"" ООО ""Статус""","Общество с ограниченной ответственностью ""Статус""","164070, Архангельская обл., Приморский район, пос. Соловецкий, ул. Аллея Варяжская, д. 5",65.021375,35.746741
Гостиница «Север» МУП «Мирнинская ЖКК»,МУП «Мирнинская ЖКК»,"164170, Архангельская область, г. Мирный, ул. Ленина, д. 10",62.764322,40.321780
Гостиничный комплекс «Серафима»  ИП Авалиани И.М.,Индивидуальный предприниматель Авалиани Инга Михайловна,"163000, г. Архангельск, ул. Серафимовича, д. 34",64.536347,40.538104
Отель «Salus» ИП Анциферова Н.А.,ИП Анциферова Надежда Анатольевна,"165651 Архангельская обл., г. Коряжма, ул. Пушкина, д. 22, корп. 3",61.310101,47.165631
Гостиница при Визит-центре  национального парка «Кенозерский» ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164136, Архангельская область, Каргопольский район, д. Морщихинская, ул.Новая, д.1",61.766722,38.054414
Гостиница при офисе Каргопольского сектора ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164136, Архангельская область, Каргопольский район, д. Анфаловская,  ул. Лесная, д. 14",61.770488,38.049482
Гостинично-экспозиционный комплекс «Рыбацкая изба»  ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164136, Архангельская область, Каргопольский район, д. Морщихинская,   ул. Новая, д.2",61.766197,38.054140
«Турприют «У Ряпушки»  ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164136, Архангельская область, Каргопольский район, д.Хвалинская, ул.Центральная, д.43",61.703865,38.061520
«Турприют «У Ерша» ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164136, Архангельская область, Каргопольский район, д.Хвалинская, ул.Центральная, д.73",61.703865,38.061520
«Гостевой дом Евсеева» ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164294, Архангельская область, Плесецкий район, д. Вершинино, д. 73",62.083040,38.192844
Гостиница при офисе Плесецкого сектора ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164294, Архангельская область, Плесецкий район, д. Погост, д. 1",62.076413,38.185757
«Гостевой дом «Дом Краскова» ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164294, Архангельская область, Плесецкий район, д. Строева Горка",62.214209,38.245801
«Гостевой дом Нечаева» ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164294, Архангельская область, Плесецкий район, д. Кривцово",62.047495,38.099670
Турприют «Кордон №3» ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164294, Архангельская область, Плесецкий район, д. Горы, д. 4",62.085769,38.224151
Турприют «Кордон №2» ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164294, Архангельская область, Плесецкий район, д. Горы, д. 2",62.085769,38.224151
Турприют «Кордон №1» ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164294, Архангельская область, Плесецкий район, д. Горы, д. 1",62.085769,38.224151
Гостиница «Гостинично-экспозиционного комплекса «Постоялый двор» ФГБУ «Национальный парк «Кенозерский»,ФГБУ «Национальный парк «Кенозерский»,"164294, Архангельская область, Плесецкий район, д. Вершинино, д. 24",62.077656,38.196159
"ГОСТИНИЦА ""Ласточкино гнездо"" Индивидуальный предприниматель Вахидов Вахаб Вахидович",Индивидуальный предприниматель Вахидов Вахаб Вахидович,"164262, Архангельская область, п. Плесецк, ул.Октябрьская, 38",62.709969,40.286234
"МИНИ-ОТЕЛЬ ""Victory hotel"" ИП Гайдуков Р.А.",ИП Гайдуков Р.А.,"164520, Архангельская область, г. Северодвинск, проспект Победы, д. 20",64.539685,39.818850
"МИНИ-ОТЕЛЬ ""Гостиный Дворик"" ИП Залозная Н.Г.",ИП Залозная Н.Г.,"165300, Архангельская область, Котласский район, г. Котлас, проспект Мира,  48",61.252711,46.651696
"МИНИ-ОТЕЛЬ ""На Мелентьева"" ИП Залозная Н.Г.",ИП Залозная Н.Г.,"165300, Архангельская область, Котласский район, г. Котлас, ул. Мелентьева д. 16-б",61.253286,46.643198
Гостиница «Юбилейная» МП «Токман»,Муниципальное  предприятие «Токман» муниципального образования «Онежский муниципальный район»,"164840, Архангельская обл., г. Онега, пр. Ленина, д. 171",63.906009,38.097505
Хостел Фонда по сохранению и развитию Соловецкого архипелага,Фонд по сохранению и развитию Соловецкого архипелага,"164070, Архангельская область, Приморский район, Соловецкое лесничество, кварталы 162ч, 163ч, 168ч",65.032027,35.703890
"Гостиница ""М.В. Ломоносов"" Фонда по сохранению и развитию Соловецкого архипелага",Фонд по сохранению и развитию Соловецкого архипелага,"164070, Архангельская область, Приморский район, остров Большой Соловецкий",65.063919,35.656680
"Гостиница ""Парковая-9"" ИП Привалов К.В.",ИП Привалов К.В.,"Архангельская обл., г. Северодвинск, ул. Парковая, д. 9",64.572450,39.828657
"Гостиница ""Парк-Отель"" ООО ""Галактика""","ООО ""Галактика""","164500, Архангельская обл., г. Северодвинск, ул. Торцева, д. 29",64.568168,39.838517
Бутик-отель «Северница» ИП Дурандина Вера Савватьевна,ИП Дурандина Вера Савватьевна,"163000, г. Архангельск, наб. Северной Двины, д. 32",64.530162,40.540232
Гостиница «Плесецкая» ИП Белоусов Руслан Сергеевич,ИП Белоусов Руслан Сергеевич,"164262, Архангельская область, рабочий поселок Плесецк, ул. Уборевича, д.7",62.707028,40.293532
Гостиница «Соловецкая слобода» ООО «Макс»,Общество с ограниченной ответственностью «Макс»,"164070, Архангельская обл., Приморский р-он, пос. Соловецкий, ул. Заозерная, д.17А",65.019366,35.711752
Гостиница «Соловки Отель» ООО «Макс»,Общество с ограниченной ответственностью «Макс»,"164070, Архангельская обл., п. Соловецкий, ул. Заозерная, д.26",65.017022,35.708946
"Гостиница «Аврора» АО ""Концерн ""НПО ""Аврора""","АО ""Концерн ""НПО ""Аврора""","164504, Северодвинск, Ломоносова, д. 51Б",64.554790,39.812943
Гостиница «Столица Поморья» ГУП АО «Фонд имущества и инвестиций»,ГУП АО «Фонд имущества и инвестиций»,"163000, Архангельская область, г. Архангельск, Набережная Северной Двины, д. 88",64.540941,40.510389
Отель «Вега» ИП Твердова Л. В.,ИП Твердова Л. В.,"163002, город Архангельск, улица Урицкого, д. 1, корп.2, вход Б",64.528951,40.556842
Корпус «Пансион»  «Лесной отель «Голубино» ООО «Голубино»,ООО «Голубино»,"164610, Архангельская обл., Пинежский р-н., пос. Голубино, д. 9",64.558731,43.268658
Гостиница «Купеческая» ГУП АО «Фонд имущества и инвестиций»,ГУП АО «Фонд имущества и инвестиций»,"165330, Архангельская обл., Сольвычегодск, ул. Советская, д. 11, пом. 2",61.331504,46.927919
Отель «Лесной отель «Голубино»  ООО «Голубино»,ООО «Голубино»,"164610, Архангельская обл., Пинежский р-н., пос. Голубино, д. 9",64.558731,43.268658
"Novotel Arkhangelsk ООО ""Дельта-Отель""","ООО ""Дельта-Отель""","г. Архангельск, наб. Северной Двины 55",64.530993,40.527018
Гостиница «Сапфир» ИП Лушникова Мария Андреевна,ИП Лушникова Мария Андреевна,"165300, Архангельская обл., г. Котлас, ул. 28-ой Невельской дивизии, д. 3,",61.239099,46.653429
Гостиница «Спорт» Частное учреждение «Стадион «Труд»,Частное учреждение «Стадион «Труд»,"165651, Архангельская область, г. Коряжма, ул. Лермонтова, д. 22, стр. 1",61.312535,47.154357
"Санаторий ""Солониха"" ЛПУ ""Санаторий ""Солониха""","Лечебно-профилактическое учреждения ""Санаторий ""Солониха""","165434, Архангельская обл., Красноборский район, деревня Курорт Солониха",61.510520,45.997471
"Гостиница «Отель на Ваге» ООО ""Поважье""","ООО ""Поважье""","165150, Архангельская обл., г. Вельск, ул. Набережная, д. 56А",61.072166,42.116775
Отель «Заря» ИП Юрик Григорий Васильевич,ИП Юрик Григорий Васильевич,"165651, Архангельская область, г. Коряжма, ул. Пушкина, д.22, корпус 4",61.310101,47.165631
Гостиница «Пинежская Слобода» ГУП АО «Фонд имущества и инвестиций»,ГУП АО «Фонд имущества и инвестиций»,"164600, Архангельская обл., Пинежский р-н, с. Карпогоры, ул. Колхозная, д.5",64.004004,44.427916
Гостиница «Беломорская» ООО «Гостиница «Беломорская»,ООО «Гостиница «Беломорская»,"163060, г. Архангельск, ул. Тимме, д. 3",64.542202,40.567112
Гостиница «Уют» АО «БЫТ»,АО «БЫТ»,"164900, Архангельская область, г.Новодвинск, ул. 50-летия Октября, д.16",64.414307,40.820444
Гостиница «АэроОтель» ООО «АэроОтель»,ООО «АэроОтель»,"163053, г. Архангельск, тер. Аэропорт Архангельск, д. 6",64.595026,40.714595
Гостиница «Никольский посад» АО «Никольский посад»,АО «Никольский посад»,"164500, Архангельская обл., г. Северодвинск, ул. Карла Маркса, д. 21",64.558395,39.796480
Гостиница «Жемчужина Севера» ООО  «ПКФ Север»,Общество с ограниченной ответственностью «ПКФ Север»,"165150, Архангельская обл., г. Вельск, ул. Дзержинского, д. 92",61.066660,42.107532
